id,target_grade,question_type,criteria_text,created_at,updated_at
38daeb9c-78ec-4fb3-ad32-ac7ba449cc9e,IM2,past_recent,"[1. 과제 기대]
- 최근 에피소드를 4~5문장으로 시간 순서에 따라 서술
- 구체적 시점 명시 (""It was about two weeks ago"")
- 장소, 활동, 함께한 사람 등 디테일 포함

[2. 충족 기준]
- 시점 명시 + 시간 순서 서술
- 과거 시제 기본 사용
- 구체적 디테일 1개 이상

[3. severity 판정]
- severe: 시점/순서 없이 일반론만 하는 경우
- moderate: 순서는 있으나 시점이 없거나, 디테일이 없는 경우
- mild: 기본 서술은 되지만 감정/평가가 없는 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_S08 narrative_structure_weak: 경험 서사의 흐름(배경→사건→결과→소감)이 약함
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C05 emotional_expression_flat: 감정/반응/태도가 거의 드러나지 않음
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음
WP_S05 paragraph_unstable: 문단을 시작하지만 중간 이후 붕괴
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T06 question_quality_low: 질문 품질이 낮음. 정보 가치 낮고 다양성 부족

[4-G] 게이트키퍼: WP_S08, WP_A08
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-I] 해석 포인트: Habitual answer to last time question = T01 or S07. Missing who/when/why/what = T02
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.859+09
c34ec328-50f0-4de5-977b-798ba35a5ef3,IM1,description,"[1. 과제 기대]
- 대상의 핵심 특징 1~2개를 단문(simple sentence)으로 설명
- 기본 형용사(big, small, nice, beautiful)를 사용한 묘사

[2. 충족 기준]
- 핵심 특징 1개 이상을 완전한 문장으로 표현
- 현재시제 기본 사용 (""It is..."", ""There is..."")

[3. severity 판정]
- severe: 문장 구성 자체가 불가능, 단어 나열만 하는 경우
- moderate: 문장은 있으나 대상의 특징을 전달하지 못하는 경우
- mild: 기본 묘사는 되지만 형용사/디테일이 매우 제한적인 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C02 repetitive_wording: 같은 단어/표현을 과반복해 답변이 단조로움
WP_C04 viewpoint_support_weak: 관점/입장은 있으나 뒷받침이 빈약함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_C01, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: C01 and S02 break most often. nice/good/big repetition = C02+C03. If why is included, check C04
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.486+09
af516d68-40cb-43c4-9c45-58a36ad2bbc9,IM2,description,"[1. 과제 기대]
- 핵심 특징 2개 이상을 연속된 문장(strings of sentences)으로 설명
- 개인적 선호/감상 포함 (""I like it because..."")
- 기본 연결어(and, but, so)로 문장 연결

[2. 충족 기준]
- 핵심 특징 2개 이상 제시
- 현재시제 안정적 사용
- 개인화(감상/경험) 1회 이상 포함

[3. severity 판정]
- severe: 특징 1개 이하이거나, 문장 간 연결이 전혀 없는 경우
- moderate: 특징 나열은 하지만 개인화나 감상이 없는 경우
- mild: 기본 요건은 충족하나 디테일 깊이가 얕은 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C02 repetitive_wording: 같은 단어/표현을 과반복해 답변이 단조로움
WP_C04 viewpoint_support_weak: 관점/입장은 있으나 뒷받침이 빈약함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_C01, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: C01 and S02 break most often. nice/good/big repetition = C02+C03. If why is included, check C04
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.562+09
42b06754-3cae-47e7-b5a4-c27c43b022f9,IM3,description,"[1. 과제 기대]
- 핵심 특징 2~3개를 연결된 문장(connected sentences)으로 설명
- 종속절(when, where, because, which) 활용한 문장 연결
- 구체적 디테일 제공 (단순 ""big"" → ""very spacious with high ceilings"")
- 개인적 감상과 이유 포함

[2. 충족 기준]
- 핵심 특징 2개 이상 + 구체적 디테일 동반
- 종속절을 활용한 문장 연결 2회 이상
- 현재시제 일관 사용
- 개인화(감상/경험/이유) 포함

[3. severity 판정]
- severe: 연결 구조 없이 단순 나열만 하는 경우 (IM2 수준)
- moderate: 연결은 있으나 디테일이 없거나 단조로운 경우
- mild: 기본 연결과 디테일은 있으나 깊이 확장이 제한적인 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C02 repetitive_wording: 같은 단어/표현을 과반복해 답변이 단조로움
WP_C04 viewpoint_support_weak: 관점/입장은 있으나 뒷받침이 빈약함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_C01, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: C01 and S02 break most often. nice/good/big repetition = C02+C03. If why is included, check C04
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.621+09
464f76c3-ed97-4f52-b784-1e72ff5bec53,IH,description,"[1. 과제 기대]
- Skeleton Paragraph 구조: Topic Sentence + Supporting Sentences(3개) + Concluding Sentence
- 단락 수준(paragraph-length)의 연결된 담화
- 다양한 전환어(transition words): ""the first thing is that..."", ""another thing is that..."", ""the best thing is that...""
- 세부 묘사 깊이: 용도, 분위기, 비교, 개인 경험 등
- 폭넓은 어휘 사용 (기본 형용사 → 구체적 표현)

[2. 충족 기준]
- 문단 구조(Topic + Supporting + Concluding) 확인
- 핵심 특징 2개 이상 + 세부 묘사(용도/분위기/비교 중 1개 이상)
- 전환어를 활용한 구조적 전개
- 현재시제 안정적 사용
- 개인화(감상/경험) 포함

[3. severity 판정]
- severe: 문단 구조 없이 문장 나열에 그치는 경우 (IM 수준)
- moderate: 문단 구조는 있으나 세부 묘사 깊이가 부족하거나 전환어가 반복적인 경우
- mild: 문단 구조와 디테일은 있으나 어휘 폭이 제한적이거나, 일부 전환어가 반복되는 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C02 repetitive_wording: 같은 단어/표현을 과반복해 답변이 단조로움
WP_C04 viewpoint_support_weak: 관점/입장은 있으나 뒷받침이 빈약함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_C01, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: C01 and S02 break most often. nice/good/big repetition = C02+C03. If why is included, check C04
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.658+09
2d723e70-481f-4732-b40f-caaed4298a45,AL,description,"[1. 과제 기대]
- 강화된 Skeleton Paragraph: 두 문장의 Topic Sentence + 풍부한 Supporting + Concluding
- 추상적 표현 및 비유 활용 (""offers both convenience and a strong sense of community"")
- 고급 어휘: numerous, sophisticated, spacious, stunning, breathtaking 등
- 다양한 연결 장치(cohesive devices): moreover, furthermore, on top of that, in addition
- 문장 구조 다양성: 분사 구문, 관계절, 복문 구조
- 사회적/문화적 맥락 언급 가능

[2. 충족 기준]
- 강화된 문단 구조 (두 문장 Topic Sentence 또는 이에 준하는 정교한 도입)
- 고급 어휘 3개 이상 사용 (기본 형용사 대체)
- 다양한 연결 장치 3종 이상 (동일 연결어 반복 없음)
- 세부 묘사 깊이: 용도 + 분위기 + 개인 경험/비교 등 복합적 묘사
- 문법 정확성: 수일치, 전치사, 시제 오류 최소

[3. severity 판정]
- severe: IH 수준의 기본 문단에 머무는 경우 (어휘/연결어/구조 심화 없음)
- moderate: 심화 시도는 있으나, 어휘 반복, 연결어 단조, 또는 문법 오류가 2개 이상인 경우
- mild: 전반적으로 양호하나 일부 영역(어휘 폭 또는 연결어 다양성)에서 미세한 부족이 있는 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_C02 repetitive_wording: 같은 단어/표현을 과반복해 답변이 단조로움
WP_C04 viewpoint_support_weak: 관점/입장은 있으나 뒷받침이 빈약함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_C01, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: C01 and S02 break most often. nice/good/big repetition = C02+C03. If why is included, check C04
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.705+09
03ed2973-182f-49dd-ab18-78457c255ef9,IL,routine,"[1. 과제 기대]
- 활동 1~2개를 단어/구 수준으로 나열

[2. 충족 기준]
- 활동 관련 단어 또는 짧은 표현 1개 이상

[3. severity 판정]
- severe: 활동 언급 자체가 없는 경우
- moderate: 관련 없는 단어만 나열하는 경우
- mild: 활동 1개만 매우 짧게 언급하는 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_D02 hesitation_excessive: 긴 침묵/재시작/멈춤이 과도함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_S09, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: Sequence matters more than tense. If next step missing = S09. Steps without why/detail = C01
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.747+09
a1cb43d1-430f-4857-b75e-b4e9a4831c7e,IM1,routine,"[1. 과제 기대]
- 활동 2~3개를 단문으로 나열
- 기본적인 순서 표현 시도 (""First... Then..."")

[2. 충족 기준]
- 활동 2개 이상을 문장으로 표현
- 현재시제 또는 습관 표현 사용 시도

[3. severity 판정]
- severe: 활동을 문장으로 표현하지 못하는 경우
- moderate: 활동 나열은 하지만 순서감이 전혀 없는 경우
- mild: 기본 나열은 되지만 활동이 2개 이하인 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_D02 hesitation_excessive: 긴 침묵/재시작/멈춤이 과도함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_S09, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: Sequence matters more than tense. If next step missing = S09. Steps without why/detail = C01
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.782+09
7064bd2d-9b56-456e-8691-3db0b5322e54,IM3,routine,"[1. 과제 기대]
- 활동들을 시간 순서대로 연결된 문장으로 설명
- 다양한 빈도 표현 (usually, typically, from time to time, every now and then)
- 종속절 활용 (""When I get home, I usually..."")
- 활동에 대한 이유/설명 추가

[2. 충족 기준]
- 활동 나열 3개 이상 + 시간 순서 명확
- 빈도 표현 2종 이상 사용
- 종속절 활용 문장 연결 1회 이상
- 현재시제 일관 사용

[3. severity 판정]
- severe: 순서 연결 없이 무작위 나열하는 경우 (IM2 수준)
- moderate: 순서는 있으나 빈도 표현이 1종 이하이거나, 시제 혼용이 있는 경우
- mild: 기본 구조는 갖추었으나 활동 설명에 깊이가 부족한 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_D02 hesitation_excessive: 긴 침묵/재시작/멈춤이 과도함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_S09, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: Sequence matters more than tense. If next step missing = S09. Steps without why/detail = C01
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.822+09
a8acbeef-d2cb-493a-8ef6-58ae47a47cb6,IH,routine,"[1. 과제 기대]
- 문단 구조(Skeleton Paragraph)로 루틴 설명
- 다양한 빈도 부사 (usually, often, sometimes, every now and then, from time to time)
- 다양한 순서 연결어 (first, then, after that, once I'm done, finally)
- 각 활동에 대한 구체적 디테일 (왜, 어떻게, 어디서)
- 현재시제 일관적 사용 (would 반복 사용 시 감점)

[2. 충족 기준]
- 문단 구조 확인 (Topic + Supporting + Concluding)
- 빈도 표현 2종 이상 + 순서 연결어 2종 이상
- 활동에 대한 구체적 디테일 1개 이상
- 현재시제 일관 사용 (would 반복 없음)

[3. severity 판정]
- severe: 문단 구조 없이 나열에 그치거나, 시제 혼용(would 반복)이 심한 경우
- moderate: 문단 구조는 있으나 빈도/순서 표현이 단조롭거나, 디테일이 부족한 경우
- mild: 전반적으로 양호하나 일부 빈도 표현 또는 연결어가 반복되는 경우

[4. WP 체크 지침]

[4-0] 공통 안전장치 (전 유형 필수)
WP_T01 task_unfulfilled: 질문 핵심 요구를 수행하지 못함
WP_D01 speech_too_short: 발화량이 현저히 부족함
WP_A07 fluency_low: 문장 생성이 매끄럽지 못해 흐름이 자주 끊김
WP_A06 intelligibility_low: 발음·억양·분절 문제로 이해도가 낮음
WP_S07 topic_drift: 질문 초점에서 이탈하거나 엉뚱한 방향으로 감

[4-1] 1차 체크 — 이 유형의 핵심. 반드시 확인
WP_T02 subtask_omission: 2~3개 하위 질문 중 일부만 답함
WP_S02 frame_absent: 답변 틀 자체가 없음. 나열식/즉흥식으로 흩어짐
WP_S03 connector_poverty: 연결 장치가 매우 빈약함. and/so 중심
WP_S09 coherence_weak: 문장 간 논리 흐름이 약함
WP_C01 detail_shallow: 설명/묘사가 표면적이고 구체성이 부족함
WP_C06 example_absent: 구체적 사례·경험·장면 예시가 없음

[4-2] 2차 체크 — 1차에서 문제없을 때 추가 확인
WP_S04 paragraph_absent: 문단형 connected discourse가 형성되지 않음
WP_S06 closure_missing: 마무리/정리 없이 답변 종료
WP_C03 lexical_range_weak: precise vocabulary가 부족하고 generic word에 의존
WP_D02 hesitation_excessive: 긴 침묵/재시작/멈춤이 과도함

[4-3] 낮은 우선순위 — 명백한 경우에만
WP_A01 tense_mixing: 같은 narrative 안에서 시제가 무질서하게 섞임
WP_A08 timeframe_control_failed: major time frame을 유지하지 못함
WP_T03 comparison_absent: 비교/대조 구도가 없음
WP_T04 complication_failed: 돌발/문제 상황을 적절히 처리하지 못함
WP_T08 solution_absent: 문제는 언급했지만 해결책/대안/다음 액션이 없음

[4-G] 게이트키퍼: WP_S09, WP_S02
→ 이 코드가 severe면 다른 코드는 보조로 격하

[4-X] 과잉 체크 금지: Do not over-tag comparison_absent or solution_absent

[4-I] 해석 포인트: Sequence matters more than tense. If next step missing = S09. Steps without why/detail = C01
",2026-03-21 21:43:14.171017+09,2026-03-22 15:21:03.894+09
