id,category,sub_category,topic,survey_type,question_english,question_korean,question_short,question_type_kor,question_type_eng,tag,created_at,updated_at,audio_url
APL_ADV_COM_Q14_01,어드밴스,Q14,가전제품,공통형,"I'd like to now talk about where you live. Many homes today are equipped with smart appliances and electronic devices that make everyday life much more convenient. What are some of these modern home appliances, and how have they changed the way you handle household chores?","이제 거주지에 대해 이야기해보고 싶습니다. 요즘 많은 집에는 일상생활을 더 편리하게 해주는 스마트 가전과 전자기기가 있습니다. 이러한 현대적인 가전제품에는 어떤 것들이 있고, 집안일을 처리하는 방식이 어떻게 달라졌나요?",스마트 가전이 집안일에 미친 영향,비교/변화,adv_14,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:35.996047+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_ADV_COM_Q14_01.mp3
APL_ADV_COM_Q15_02,어드밴스,Q15,가전제품,공통형,"Think about a specific modern appliance or smart device that people consider incredibly useful or convenient to have at home. What do people generally say about this home appliance, and what makes it so popular?","집에 있으면 매우 유용하거나 편리하다고 여겨지는 최신 가전제품이나 스마트 기기를 하나 생각해보세요. 사람들이 이 가전제품에 대해 보통 어떻게 말하는지, 그리고 이 제품이 인기 있는 이유는 무엇인지 설명해주세요.",인기 가전제품 특징,사회적이슈,adv_15,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:35.996226+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_ADV_COM_Q15_02.mp3
APL_ADV_COM_Q15_03,어드밴스,Q15,가전제품,공통형,How have modern home appliances completely changed our daily lives? How was doing household chores in the past different from what it is like now? What would you say is the biggest impact these devices have had on our lifestyles?,"최신 가전제품이 우리의 일상생활을 어떻게 완전히 바꿔놓았는지 설명해주세요. 과거에는 집안일을 어떻게 했고, 지금은 어떻게 달라졌나요? 이러한 기기가 생활에 미친 가장 큰 영향은 무엇이라고 생각하나요?",가전제품이 바꾼 일상,사회적이슈,adv_15,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:35.912953+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_ADV_COM_Q15_03.mp3
APL_GEN_COM_CMP_03,일반,-,가전제품,공통형,"Compare a specific household appliance you used during your childhood with a similar device you use today. How are they different when it comes to their smart features, appearance, and overall convenience?","어린 시절 사용했던 가전제품과 현재 사용하는 비슷한 제품을 비교해주세요. 스마트 기능, 외관, 편리함 측면에서 어떻게 다른가요?",어릴 때 가전과 현재 비교,비교,comparison,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 23:02:39.921718+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_GEN_COM_CMP_03.mp3
APL_GEN_COM_CMP_04,일반,-,가전제품,공통형,How have household appliances changed over the past few years due to new technology? Give me a few specific examples of these modern upgrades and explain how they have transformed people's daily routines at home.,최근 몇 년간 신기술로 인해 가전제품이 어떻게 변화했는지 말씀해주세요. 구체적인 예시와 그로 인해 집에서의 일상이 어떻게 달라졌는지 설명해주세요.,가전제품 기술 발전과 변화,비교,comparison,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 23:02:40.032305+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_GEN_COM_CMP_04.mp3
APL_GEN_COM_DESC_01,일반,-,가전제품,공통형,"Please describe an electronic household appliance you bought not too long ago. Explain its primary functions and unique features, and tell me how it has made your chores easier.","최근에 구입한 가전제품에 대해 설명해 주세요. 주요 기능과 특별한 점, 그리고 집안일이 어떻게 더 쉬워졌는지 말씀해 주세요.",최근 구입 가전제품 소개,묘사,description,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:35.84435+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_GEN_COM_DESC_01.mp3
APL_GEN_COM_DESC_02,일반,-,가전제품,공통형,"Are there any ongoing controversies or problems regarding household appliances where you live? You could discuss topics like high electricity bills, difficult maintenance, or eco-friendly disposal.","거주 지역에서 가전제품과 관련된 논란이나 문제가 있나요? 예를 들어, 전기요금 부담, 유지보수의 어려움, 친환경 폐기 등 다양한 주제에 대해 이야기해 주세요.",가전제품 관련 지역 문제,묘사,description,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.003476+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_GEN_COM_DESC_02.mp3
APL_GEN_COM_SPC_05,일반,-,가전제품,공통형,"Have you ever experienced significant inconvenience because a household appliance suddenly broke down or malfunctioned? Describe exactly what happened, how it disrupted your daily routine, and what steps you took to resolve the issue.","집안의 가전제품이 갑자기 고장나서 큰 불편을 겪었던 적이 있나요? 어떤 일이 있었고, 일상에 어떤 영향을 미쳤으며, 문제를 해결하기 위해 어떤 조치를 취했는지 설명해주세요.",가전제품 고장 경험,경험_특별한,past_special,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.015447+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APL_GEN_COM_SPC_05.mp3
APM_GEN_COM_CMP_03,일반,-,약속,공통형,"How have appointments with specialists, such as doctors or hair stylists, changed over time? What are the biggest similarities and differences between the way you booked and managed these appointments in the past compared to how you do it nowadays?",의사나 미용사 같은 전문가와의 예약 방식이 시간에 따라 어떻게 달라졌나요? 과거와 현재의 예약 및 관리 방식의 가장 큰 공통점과 차이점은 무엇인가요?,전문가 예약 방식 변화,비교,comparison,Adv,2026-03-01 19:56:50.957682+09,2026-03-01 23:02:40.13188+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APM_GEN_COM_CMP_03.mp3
APM_GEN_COM_DESC_01,일반,-,약속,공통형,"What are the most common types of reservations or appointments you make? Who are the professionals you usually meet with, and is the booking process generally easy or challenging for you?","가장 자주 예약하거나 약속을 잡는 유형에 대해 말씀해 주세요. 주로 어떤 전문가를 만나며, 예약 과정은 대체로 쉬운가요, 아니면 어려운가요?",자주 하는 예약·약속 유형,묘사,description,Int,2026-03-01 19:56:50.957682+09,2026-03-01 22:56:36.01823+09,https://rwdsyqnrrpwkureqfxwb.supabase.co/storage/v1/object/public/audio-recordings/questions/APM_GEN_COM_DESC_01.mp3
