table_name,constraint_type,constraint_name,column_name,foreign_table,foreign_column
admin_audit_log,FOREIGN KEY,admin_audit_log_admin_id_fkey,admin_id,,
admin_audit_log,PRIMARY KEY,admin_audit_log_pkey,id,admin_audit_log,id
ai_prompt_templates,PRIMARY KEY,ai_prompt_templates_pkey,id,ai_prompt_templates,id
ai_prompt_templates,UNIQUE,ai_prompt_templates_template_id_key,template_id,ai_prompt_templates,template_id
announcements,PRIMARY KEY,announcements_pkey,id,announcements,id
api_usage_logs,FOREIGN KEY,api_usage_logs_user_id_fkey,user_id,,
api_usage_logs,PRIMARY KEY,api_usage_logs_pkey,id,api_usage_logs,id
beta_applications,FOREIGN KEY,beta_applications_user_id_fkey,user_id,,
beta_applications,FOREIGN KEY,beta_applications_reviewed_by_fkey,reviewed_by,,
beta_applications,PRIMARY KEY,beta_applications_pkey,id,beta_applications,id
beta_applications,UNIQUE,beta_one_per_user,user_id,beta_applications,user_id
evaluation_criteria,PRIMARY KEY,evaluation_criteria_v2_pkey,id,evaluation_criteria,id
evaluation_criteria,UNIQUE,evaluation_criteria_v2_target_level_question_type_key,question_type,evaluation_criteria,target_grade
evaluation_criteria,UNIQUE,evaluation_criteria_v2_target_level_question_type_key,question_type,evaluation_criteria,question_type
evaluation_criteria,UNIQUE,evaluation_criteria_v2_target_level_question_type_key,target_grade,evaluation_criteria,target_grade
evaluation_criteria,UNIQUE,evaluation_criteria_v2_target_level_question_type_key,target_grade,evaluation_criteria,question_type
evaluation_prompts,PRIMARY KEY,evaluation_prompts_v2_pkey,id,evaluation_prompts,id
evaluation_prompts,UNIQUE,evaluation_prompts_v2_key_key,key,evaluation_prompts,key
level_modifiers,PRIMARY KEY,level_modifiers_pkey,level_code,level_modifiers,level_code
master_questions,PRIMARY KEY,master_questions_pkey,id,master_questions,id
master_questions,UNIQUE,master_questions_question_id_key,question_id,master_questions,question_id
mock_test_answers,FOREIGN KEY,mock_test_answers_session_id_fkey,session_id,mock_test_sessions,session_id
mock_test_answers,PRIMARY KEY,mock_test_answers_pkey,id,mock_test_answers,id
mock_test_answers,UNIQUE,mock_test_answers_session_id_question_number_key,question_number,mock_test_answers,session_id
